date,category,title,amount
2021-02-01,serviços,Ame Digital,213.28
2020-12-10,serviços,Recarga Oi*77988188514,20
2020-12-18,serviços,Ame Digital,56.56
2021-01-04,serviços,Recvivo*77999073079,20
2021-01-18,serviços,Recvivo*77999073079,20
2021-06-01,serviços,Netflix.Com,21.9
2021-06-04,serviços,Recvivo*77999073079,20
2021-04-01,serviços,Netflix.Com,21.9
2021-04-06,serviços,Google Udemy Inc,27.9
2021-04-06,serviços,Google Udemy Inc,27.9
2021-04-07,serviços,Recvivo*77999073079,20
2021-05-01,serviços,Netflix.Com,21.9
2021-05-05,serviços,Recvivo*77999073079,20
